yourlist:M202204236320BA52A5CE8FCD097CB85A53697A354B13ABC	Entry	Entry name	Protein names	Gene names	Length
ENSSSCG00000015735	F1RXX2	F1RXX2_PIG	Protein tyrosine phosphatase non-receptor type 18 (Tyrosine-protein phosphatase non-receptor type 18 isoform X1)	PTPN18	454
ENSSSCG00000001463	A5D9J1	A5D9J1_PIG	"Proteasome (Prosome, macropain) subunit, beta type, 9 (Large multifunctional protease 2) (Proteasome 20S subunit beta 9)"	PSMB9 SBAB-554F3.3-003	175
ENSSSCG00000001463	Q2PYM7	Q2PYM7_PIG	Proteasome subunit beta	PSMB9 LMP2 SBAB-554F3.3-001	219
ENSSSCG00000001463	A0A5G2R095	A0A5G2R095_PIG	Proteasome 20S subunit beta 9	PSMB9	167
ENSSSCG00000026951	A5D9J4	A5D9J4_PIG	Proteasome subunit beta	PSMB8 SBAB-554F3.2-002	276
ENSSSCG00000026951	A0A287A1Z0	A0A287A1Z0_PIG	Proteasome subunit beta	PSMB8	295
ENSSSCG00000026951	A0A5G2RD01	A0A5G2RD01_PIG	Proteasome subunit beta type-8	PSMB8	192
ENSSSCG00000026951	I6L5M4	I6L5M4_PIG	Proteasome subunit beta	PSMB8	260
ENSSSCG00000026951	K7GPK5	K7GPK5_PIG	Proteasome subunit beta type-8	PSMB8	167
ENSSSCG00000012171	A0A5G2QBQ4	A0A5G2QBQ4_PIG	Peroxiredoxin 4	PRDX4	276
ENSSSCG00000012171	F1SQ01	F1SQ01_PIG	Peroxiredoxin-4	PRDX4	272
ENSSSCG00000012171	K7GLN4	K7GLN4_PIG	Peroxiredoxin 4	PRDX4	272
ENSSSCG00000009240	A0A287BG98	A0A287BG98_PIG	Placenta associated 8	PLAC8	113
ENSSSCG00000009240	F1RVD7	F1RVD7_PIG	Placenta associated 8	PLAC8	161
ENSSSCG00000008014	A0A286ZPJ6	A0A286ZPJ6_PIG	Cytosolic Fe-S cluster assembly factor NUBP2 (Nucleotide-binding protein 2) (NBP 2)	NUBP2	298
ENSSSCG00000008014	A0A287AJA9	A0A287AJA9_PIG	Cytosolic Fe-S cluster assembly factor NUBP2 (Nucleotide-binding protein 2) (NBP 2)	NUBP2	325
ENSSSCG00000008014	A0A5G2QC11	A0A5G2QC11_PIG	Nucleotide binding protein 2	NUBP2	254
ENSSSCG00000008014	A0A5G2R5P5	A0A5G2R5P5_PIG	Cytosolic Fe-S cluster assembly factor NUBP2 (Nucleotide-binding protein 2) (NBP 2)	NUBP2	296
ENSSSCG00000008014	F1RG29	F1RG29_PIG	Cytosolic Fe-S cluster assembly factor NUBP2 (Nucleotide-binding protein 2) (NBP 2)	NUBP2	288
ENSSSCG00000007517	A5GFT5	A5GFT5_PIG	Aminopeptidase-like 1 (Putative aminopeptidase NPEPL1) (Putative aminopeptidase NPEPL1 isoform 1)	NPEPL1 CH242-240K6.2-001	523
ENSSSCG00000007517	A0A287AFW2	A0A287AFW2_PIG	Aminopeptidase like 1	NPEPL1	491
ENSSSCG00000007517	A0A481CXF3	A0A481CXF3_PIG	Aminopeptidase like 1 (Putative aminopeptidase NPEPL1 isoform 2)	NPEPL1	531
ENSSSCG00000007517	K7GQF6	K7GQF6_PIG	Aminopeptidase like 1	NPEPL1	491
ENSSSCG00000008017	F1RG17	F1RG17_PIG	Nucleoside diphosphate kinase (EC 2.7.4.6)	NME3	169
ENSSSCG00000016893	A0A287AMN2	A0A287AMN2_PIG	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial (Complex I-18 kDa) (NADH-ubiquinone oxidoreductase 18 kDa subunit)"	NDUFS4	175
ENSSSCG00000016893	A0A5G2QZZ2	A0A5G2QZZ2_PIG	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial (Complex I-18 kDa) (NADH-ubiquinone oxidoreductase 18 kDa subunit)"	NDUFS4	156
ENSSSCG00000016893	I3LQ38	I3LQ38_PIG	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial (Complex I-18 kDa) (NADH-ubiquinone oxidoreductase 18 kDa subunit)"	NDUFS4	147
ENSSSCG00000029239	F1RGG8	F1RGG8_PIG	Marginal zone B-and B1-cell-specific protein	MZB1	197
ENSSSCG00000007436	A0A287AN90	A0A287AN90_PIG	92 kDa gelatinase (EC 3.4.24.35) (92 kDa type IV collagenase) (Gelatinase B) (Matrix metalloproteinase-9)	MMP9	672
ENSSSCG00000007436	A0A287AZD5	A0A287AZD5_PIG	92 kDa gelatinase (EC 3.4.24.35) (92 kDa type IV collagenase) (Gelatinase B) (Matrix metalloproteinase-9)	MMP9	708
ENSSSCG00000007436	F1SC56	F1SC56_PIG	92 kDa gelatinase (EC 3.4.24.35) (92 kDa type IV collagenase) (Gelatinase B) (Matrix metalloproteinase-9)	MMP9	680
ENSSSCG00000013524	F1SBU8	F1SBU8_PIG	MICOS complex subunit MIC13	MICOS13	118
ENSSSCG00000010756	A0A287ATP1	A0A287ATP1_PIG	6-O-methylguanine-DNA methyltransferase (EC 2.1.1.63) (Methylated-DNA--protein-cysteine methyltransferase) (O-6-methylguanine-DNA-alkyltransferase)	MGMT	257
ENSSSCG00000010756	A0A287BQ22	A0A287BQ22_PIG	6-O-methylguanine-DNA methyltransferase (EC 2.1.1.63) (Methylated-DNA--protein-cysteine methyltransferase) (O-6-methylguanine-DNA-alkyltransferase)	MGMT	265
ENSSSCG00000010756	F1SDK3	F1SDK3_PIG	6-O-methylguanine-DNA methyltransferase (EC 2.1.1.63) (Methylated-DNA--protein-cysteine methyltransferase) (O-6-methylguanine-DNA-alkyltransferase)	MGMT	242
ENSSSCG00000030209	A0A287AYF0	A0A287AYF0_PIG	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	MFNG	302
ENSSSCG00000030209	A0A5G2RAU9	A0A5G2RAU9_PIG	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	MFNG	309
ENSSSCG00000030209	A0A5G2RCV3	A0A5G2RCV3_PIG	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	MFNG	308
ENSSSCG00000030209	I3LAN4	I3LAN4_PIG	"Beta-1,3-N-acetylglucosaminyltransferase (EC 2.4.1.222) (O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase)"	MFNG	322
ENSSSCG00000026064	A0A286ZSU0	A0A286ZSU0_PIG	U6 snRNA-associated Sm-like protein LSm5	LSM5	62
ENSSSCG00000026064	A0A5G2RD92	A0A5G2RD92_PIG	Sm domain-containing protein	LSM5	64
ENSSSCG00000026064	A0A5G2RFG2	A0A5G2RFG2_PIG	U6 snRNA-associated Sm-like protein LSm5	LSM5	92
ENSSSCG00000026064	I3LM25	I3LM25_PIG	U6 snRNA-associated Sm-like protein LSm5	LSM5	91
ENSSSCG00000007978	F1RGX4	F1RGX4_PIG	GLOBIN domain-containing protein	LOC110259958	142
ENSSSCG00000030849	K7GP63	K7GP63_PIG	Uncharacterized protein	LOC100623540	51
ENSSSCG00000025681	I3LMQ4	I3LMQ4_PIG	START domain-containing protein	LOC100621260	215
ENSSSCG00000010077	F1RL06	F1RL06_PIG	Ig-like domain-containing protein	LOC100523213	212
ENSSSCG00000012853	A0A5K1US05	A0A5K1US05_PIG	Interferon regulatory factor 7	IRF7	473
ENSSSCG00000012853	F6PW48	F6PW48_PIG	Interferon regulatory factor 7	IRF7	481
ENSSSCG00000005371	A0A286ZIU1	A0A286ZIU1_PIG	Hemogen	HEMGN TRMO	724
ENSSSCG00000005371	A0A287ARZ2	A0A287ARZ2_PIG	Hemogen	HEMGN TRMO	443
ENSSSCG00000005371	F1SSG7	F1SSG7_PIG	Hemogen	HEMGN TRMO	473
ENSSSCG00000005371	F1SSG8	F1SSG8_PIG	Hemogen	HEMGN TRMO	171
ENSSSCG00000002918	A0A287B1P0	A0A287B1P0_PIG	DNAX-activation protein 10 (Hematopoietic cell signal transducer) (Membrane protein DAP10)	HCST	63
ENSSSCG00000002918	A0A287B894	A0A287B894_PIG	DNAX-activation protein 10 (Hematopoietic cell signal transducer) (Membrane protein DAP10)	HCST	281
ENSSSCG00000002918	A0A5G2QMU2	A0A5G2QMU2_PIG	DNAX-activation protein 10 (Hematopoietic cell signal transducer) (Membrane protein DAP10)	HCST	206
ENSSSCG00000002918	A0A5S6FW47	A0A5S6FW47_PIG	DNAX-activation protein 10 (Hematopoietic cell signal transducer) (Membrane protein DAP10)	HCST	119
ENSSSCG00000009178	B1PEY3	B1PEY3_PIG	Histone H2A	H2A.Z H2AFZ	128
ENSSSCG00000009046	K7GPV6	K7GPV6_PIG	Glycophorin	GYPA	164
ENSSSCG00000012846	F1RYY7	F1RYY7_PIG	Glutamine amidotransferase like class 1 domain containing 1 (Glutamine amidotransferase-like class 1 domain-containing protein 1 isoform 1) (Parkinson disease 7 domain-containing protein 1 isoform X4)	GATD1	220
ENSSSCG00000010791	A0A5G2R5A1	A0A5G2R5A1_PIG	Fucose mutarotase	FUOM	157
ENSSSCG00000010791	F1SAC0	F1SAC0_PIG	Fucose mutarotase	FUOM	197
ENSSSCG00000017037	A0A5G2QJP0	A0A5G2QJP0_PIG	Gastrotropin	FABP6	137
ENSSSCG00000017037	A0A5G2R2T1	A0A5G2R2T1_PIG	Gastrotropin	FABP6	138
ENSSSCG00000017037	F1RR40	F1RR40_PIG	Gastrotropin	FABP6	143
ENSSSCG00000009613	A0A287AUM6	A0A287AUM6_PIG	Dematin actin binding protein	DMTN	393
ENSSSCG00000009613	A0A287BKW3	A0A287BKW3_PIG	Dematin actin binding protein	DMTN	354
ENSSSCG00000009613	A0A480QHR7	A0A480QHR7_PIG	Dematin actin binding protein (Dematin isoform 2)	DMTN	383
ENSSSCG00000009613	A0A5G2QVK8	A0A5G2QVK8_PIG	Dematin actin binding protein	DMTN	363
ENSSSCG00000009613	A0A5G2R2I2	A0A5G2R2I2_PIG	Dematin actin binding protein	DMTN	383
ENSSSCG00000009613	F1RMC1	F1RMC1_PIG	Dematin actin binding protein	DMTN	405
ENSSSCG00000000444	A0A5G2QD80	A0A5G2QD80_PIG	Dynactin subunit 2	DCTN2	405
ENSSSCG00000000444	A0A5G2QMY1	A0A5G2QMY1_PIG	Dynactin subunit 2	DCTN2	405
ENSSSCG00000000444	A0A5G2R9H3	A0A5G2R9H3_PIG	Dynactin subunit 2	DCTN2	408
ENSSSCG00000000444	A0A5G2RID4	A0A5G2RID4_PIG	Dynactin subunit 2	DCTN2	378
ENSSSCG00000000444	F1SKF9	F1SKF9_PIG	Dynactin subunit 2	DCTN2	405
ENSSSCG00000000444	F1SL58	F1SL58_PIG	Dynactin subunit 2	DCTN2	404
ENSSSCG00000002033	F1S9D2	F1S9D2_PIG	CCAAT/enhancer-binding protein	CEBPE	282
ENSSSCG00000000005	F1SM77	F1SM77_PIG	Cysteine-rich DPF motif domain-containing protein 1	CDPF1	123
ENSSSCG00000013579	B3FVQ2	B3FVQ2_PIG	CD209 (CD209 antigen isoform X1) (DC-SIGN)	CD209	240
ENSSSCG00000006450	A0A5G2QN39	A0A5G2QN39_PIG	CD1e molecule	CD1E	385
ENSSSCG00000006450	A0A5G2RE36	A0A5G2RE36_PIG	CD1e molecule	CD1E	379
ENSSSCG00000006450	F6PUN6	F6PUN6_PIG	CD1e molecule	CD1E	380
ENSSSCG00000006450	K7GPP1	K7GPP1_PIG	CD1e molecule	CD1E	382
ENSSSCG00000008239	A0A287B091	A0A287B091_PIG	Macrophage-capping protein (Actin regulatory protein CAP-G)	CAPG	307
ENSSSCG00000008239	A0A287B8B6	A0A287B8B6_PIG	Macrophage-capping protein (Actin regulatory protein CAP-G)	CAPG	385
ENSSSCG00000008239	A0A287BAC5	A0A287BAC5_PIG	Macrophage-capping protein (Actin regulatory protein CAP-G)	CAPG	348
ENSSSCG00000008239	F1SVB0	F1SVB0_PIG	Macrophage-capping protein (Actin regulatory protein CAP-G)	CAPG	349
ENSSSCG00000003524	A0A287BNF7	A0A287BNF7_PIG	Complement C1q subcomponent subunit A	C1QA	266
ENSSSCG00000022295	A0A5G2R7Z6	A0A5G2R7Z6_PIG	Uncharacterized protein	C1H9orf16	83
ENSSSCG00000022295	F1RRX0	F1RRX0_PIG	Uncharacterized protein	C1H9orf16	175
ENSSSCG00000007472	A5GHK6	A5GHK6_PIG	Breast carcinoma amplified sequence 4 (Breast carcinoma-amplified sequence 4 isoform X2)	BCAS4 CH242-4C12.2-001	203
ENSSSCG00000007472	A0A287BEW2	A0A287BEW2_PIG	Uncharacterized protein	BCAS4	173
ENSSSCG00000017544	A0A5G2QSI5	A0A5G2QSI5_PIG	"ATP synthase F(0) complex subunit C1, mitochondrial"	ATP5MC1	99
ENSSSCG00000017544	A0A5G2QY26	A0A5G2QY26_PIG	ATP synthase lipid-binding protein (ATPase protein 9) (ATPase subunit c)	ATP5MC1	136
ENSSSCG00000017544	F1RWF6	F1RWF6_PIG	ATP synthase lipid-binding protein (ATPase protein 9) (ATPase subunit c)	ATP5MC1	110
ENSSSCG00000004195	Q95JC8	ARGI1_PIG	fucose mutarotase	ARG1	322
ENSSSCG00000004195	A0A5S8LD81	A0A5S8LD81_PIG	Arginase (EC 3.5.3.1)	ARG1	337
ENSSSCG00000002650	F1S6K5	F1S6K5_PIG	Adenine phosphoribosyltransferase	APRT	244
ENSSSCG00000022701	I3LKJ7	I3LKJ7_PIG	C4b-binding protein alpha chain isoform X1-like		194
ENSSSCG00000028308	A0A287ARH8	A0A287ARH8_PIG	Ribosomal_S13_N domain-containing protein		73
ENSSSCG00000010044	A0A0A0MY58	A0A0A0MY58_PIG	Uncharacterized protein		312
ENSSSCG00000016475	A0A287A079	A0A287A079_PIG	Uncharacterized protein		308
ENSSSCG00000016475	A0A287AF37	A0A287AF37_PIG	Uncharacterized protein		308
ENSSSCG00000016475	A0A287AVZ7	A0A287AVZ7_PIG	Uncharacterized protein		310
ENSSSCG00000016475	A0A287BM75	A0A287BM75_PIG	Ig-like domain-containing protein		227
ENSSSCG00000016475	F6Q8R7	F6Q8R7_PIG	Ig-like domain-containing protein		311
ENSSSCG00000016475	F6Q8S8	F6Q8S8_PIG	Uncharacterized protein		232
ENSSSCG00000016475	I3L9U4	I3L9U4_PIG	Uncharacterized protein		308
ENSSSCG00000016475	I3LSG9	I3LSG9_PIG	Uncharacterized protein		308
ENSSSCG00000016475	I3LU82	I3LU82_PIG	Uncharacterized protein		306
ENSSSCG00000012427	A0A287AW71	A0A287AW71_PIG	60S ribosomal protein L9		192
